bill_id|title|subject|summary
hr105-112|To repeal the Patient Protection and Affordable Care Act and related health-care provisions and to enact in its place incentives to encourage health insurance coverage, and for other purposes.|Health|Empowering Patients First Act - Repeals the Patient Protection and Affordable Care Act and the health care provisions of the Health Care and Education and Reconciliation Act of 2010, effective as of their enactment. Restores or revives provisions amended or repealed by such Act or such health care provisions. Amends the Internal Revenue Code to allow a tax credit for qualified health insurance costs to residents of a state that implements a high-risk pool, a reinsurance pool, or other risk-adjustment mechanism. Amends the Public Health Service Act to provide for the establishment and governance of individual membership associations (IMAs) to make available health benefits coverage to IMA members and their dependents. Small Business Health Fairness Act of 2011 - Amends the Employee Retirement Income Security Act of 1974 (ERISA) to provide for establishment and governance of association health plans, which are group health plans whose sponsors are trade, industry, professional, chamber of commerce, or similar business associations and which meet certain ERISA certification requirements. Directs that the laws of the state designated by a health insurance issuer (primary state) shall apply to individual health insurance coverage offered by that issuer in the primary state and in any other state (secondary state), but only if the coverage and issuer comply with conditions of this Act. Amends title XXI (Children's Health Insurance) (CHIP, formerly known as SCHIP) of the Social Security Act (SSA) to: (1) require a state CHIP plan to specify how it will achieve coverage for 90% of targeted low-income children; and (2) prohibit CHIP payments for children with family income above 300% of the applicable poverty line. Help Efficient, Accessible, Low-cost, Timely Healthcare (HEALTH) Act of 2011 - Sets conditions for lawsuits arising from health care liability claims regarding health care goods or services or any medical product affecting interstate commerce. Establishes a statute of limitations and limits noneconomic and punitive damages. Permits a group health plan to vary premiums and cost-sharing by up to 50% of the benefits based on participation (or lack of participation) in a wellness program. Requires a health insurance issuer to provide claims information, on request, to a plan, plan sponsor, or plan administrator. Prohibits the Secretary of Health and Human Services (HHS) from using comparative effectiveness research to deny coverage of an item or service under a federal health care program. Authorizes a state to establish a Health Plan and Provider Portal website to standardize information on health insurance plans available in the state. Revises the formula for determining rates in the fee schedule for Medicare physician payments. Sets forth provisions regarding students loans and loan repayment for health care professionals. Establishes discretionary spending limits for FY2011-FY2020 for new budget authority in the nondefense category.  Amends the Balanced Budget and Emergency Deficit Control Act of 1985 to reinstate budget provisions related to deficit reductions during a recession. Rescinds unobligated balances of certain discretionary appropriations made available under the American Recovery and Reinvestment Act of 2009. Repeals other provisions of such Act, including provisions providing fiscal assistance to states and setting limits on executive compensation.
hr4556-112|To suspend temporarily the duty on 4,6-dimethyl-2-pyrimidinamine.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 4,6-dimethyl-2-pyrimidinamine.
hr5484-112|To suspend temporarily the duty on light emitting diode (LED) drivers.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on light emitting diode (LED) drivers.
hr1818-112|To designate Mt. Andrea Lawrence, and for other purposes.|Public lands and natural resources|Mt. Andrea Lawrence Designation Act of 2011 - Designates peak 12,240 located 0.6 miles northeast of Donahue Peak on the northern border of the Ansel Adams Wilderness and Yosemite National Park in California as Mt. Andrea Lawrence.
hr6665-112|To amend the Migratory Bird Treaty Act to provide certain exemptions relating to the taking of migratory game birds.|Animals|Farmers Protection Act of 2012 - Amends the Migratory Bird Treaty Act to permit the taking of any migratory game bird, including waterfowl, coots, and cranes, on or over land that: (1) is not a baited area; and (2) contains a standing crop (including an aquatic crop), standing, flooded, or manipulated natural vegetation, flooded harvested cropland, or an area on which seed or grain has been scattered solely as the result of a normal agricultural practice.
hr3317-112|To amend the Help America Vote Act of 2002 to require States to provide for same day registration.|Government operations and politics|Same Day Voter Registration Act of 2011 - Amends the Help America Vote Act of 2002 to require states with a voter registration requirement to make same-day voter registration available at the polling place on the date of election itself (or on the day of voting under early voting).
hr1440-112|To amend the Family and Medical Leave Act of 1993 and title 5, United States Code, to allow employees to take, as additional leave, parental involvement leave to participate in or attend their children's and grandchildren's educational and extracurricular activities, and to clarify that leave may be taken for routine family medical needs and to assist elderly relatives, and for other purposes.|Labor and employment|Family and Medical Leave Enhancement Act of 2011 - Amends the Family and Medical Leave Act of 1993 (FMLA) to cover employees at worksites that employ fewer than 50 employees, but not fewer than 25 employees. Continues to exempt from FMLA coverage employees at worksites that employ fewer than 25 employees (currently 50), if the total number of employees employed by that employer within 75 miles of that worksite is fewer than 25 (currently 50). Allows an employee covered by FMLA to take up to 4 hours during any 30-day period, and up to 24 hours during any 12-month period, of parental involvement leave to participate in or attend activities that are sponsored by a school or community organization; and (2) relate to a program of the school or organization that is attended by the employee's child or grandchild. Permits the use of such parental involvement leave to meet routine family medical care needs, including: (1) such employee's medical and dental appointments, or their spouse, child, or grandchild; and (2) the care needs of their related elderly individuals, including visits to nursing homes and group homes. Allows an employee to elect, or an employer to require, substitution of any of the paid or family leave or paid medical or sick leave of the employee for any leave provided under this Act. Declares that nothing in this Act shall require an employer to provide paid sick leave or paid medical leave in situations where such employer would not normally provide any such paid leave. Imposes on the employee requesting leave certain notification requirements. Allows an employer to require certification supporting such requests. Applies the parental involvement and family wellness leave allowance to federal employees.
hr561-112|To amend the Internal Revenue Code of 1986 to extend the work opportunity tax credit with respect to veterans.|Taxation|Veterans Employment Tax Credit Act of 2011 - Amends the Internal Revenue Code to: (1) extend through 2014 the work opportunity tax credit for qualified veterans (defined as veterans who are members of families receiving supplemental nutrition assistance or who are entitled to compensation for a service-connected disability), and (2) make unemployed veterans who begin work for an employer during the period 2009 through 2014 eligible for such credit.
hr4132-112|To amend section 506 of the Federal Food, Drug, and Cosmetic Act to expedited approval of drugs for serious or life-threatening diseases or conditions.|Health|Faster Access to Specialized Treatments Act or FAST Act - Expresses the sense of Congress that the Food and Drug Administration (FDA) should apply specified accelerated approval and the fast track provisions to expedite the development and availability of treatments for serious or life-threatening diseases or conditions while maintaining appropriate safety and effectiveness standards. Amends the Federal Food, Drug, and Cosmetic Act to direct the Secretary of Health and Human Services (HHS), at the request of the sponsor of a new drug, to include as a fast track product a new drug, either alone or in combination with one or more other drugs, that is intended for the treatment of a serious or life-threatening disease or condition. Permits the Secretary to approve an application for approval of a product for a serious or life-threatening disease or condition, including a fast track product, upon a determination that the product has an effect on: (1) a surrogate endpoint that is reasonably likely to predict clinical benefit; or (2) on a clinical endpoint, including an endpoint that can be measured earlier than irreversible morbidity or mortality, that is reasonably likely to predict an effect on irreversible morbidity or mortality or other clinical benefit. Directs the Secretary, in conjunction with other planned reviews of the new drug review process, to contract with an independent entity with expertise in assessing biopharmaceutical development and regulatory review programs to evaluate the FDA's application of the fast track processes on the development and availability of innovative treatments for patients suffering from serious or life-threatening conditions.
hr1672-112|To expand the research and awareness activities of the National Institute of Arthritis and Musculoskeletal and Skin Diseases and the Centers for Disease Control and Prevention with respect to scleroderma, and for other purposes.|Health|Scleroderma Research and Awareness Act of 2011 - Amends the Public Health Service Act to authorize the Director of the National Institutes of Health (NIH) to expand, intensify, and coordinate NIH activities with respect to scleroderma, with particular emphasis on: (1) research focused on the etiology of scleroderma and the development of new treatment options; (2) clinical research to evaluate new treatments options; and (3) basic research on the relationship between scleroderma and secondary conditions, such as pulmonary hypertension, gastroparesis, Raynaud's phenomenon, and Sjogren's Syndrome. Authorizes the Secretary of Health and Human Services (HHS) to carry out an educational campaign to increase public awareness of scleroderma. Permits print, video, and web-based materials distributed through this campaign to include: (1) basic information on scleroderma and its symptoms; and (2) information on the incidence and prevalence of scleroderma, diseases and conditions affiliated with scleroderma, or the importance of early diagnosis and treatment of scleroderma.
hr4300-112|To amend title 38, United States Code, to make permanent the authority to provide work-study allowance for certain activities by individuals receiving educational assistance by the Secretary of Veterans Affairs.|Armed forces and national security|Veterans Work Study Opportunities Act - Makes permanent the authority of the Secretary of Veterans Affairs to provide a work-study allowance for certain activities of individuals receiving educational assistance through the Department of Veterans Affairs (VA). (Under current law, such authority extends only through the period preceding June 30, 2013.)
hr753-112|To direct the Secretary of Agriculture to convey certain Federally owned land located in Story County, Iowa.|Agriculture and food|Requires conveyance of approximately 44 acres of federally owned land administered by the Agricultural Research Service which comprises part of the National Animal Disease Center in the city of Ames, Iowa, to the city of Ames and its assigns.
hr3919-112|To extend temporarily the suspension of duty on Vat Blue 66.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on Vat Blue 66.
hr6457-112|To provide grants to enhance the most effective freezing methods to improve access to affordable and locally produced specialty crops.|Agriculture and food|Preserving Healthy Food for the Hungry Act - Amends the Agricultural Risk Protection Act of 2000 to provide agricultural product market development grants to assist persons in preserving the quality and shelf-life of fruit and vegetable crops produced by such persons on qualified land through the use of mobile and fixed flash freezing and quick freezing units.
hr3125-112|To establish a program to provide guarantees for debt issued by or on behalf of State catastrophe insurance programs to assist in the financial recovery from earthquakes, earthquake-induced landslides, volcanic eruptions, and tsunamis.|Finance and financial sector|Earthquake Insurance Affordability Act - Authorizes the Secretary of the Treasury to guarantee holders of debt against loss of principal or interest, or both, on debt issued by eligible state programs designed to: (1) promote the availability of private capital to provide liquidity and capacity to state earthquake (specifically, residential property) insurance programs, and (2) expedite the payment of claims under such programs and better assist financial recovery from significant earthquakes. Prescribes operational requirements for eligible state programs which include an established earthquake insurance program that: (1) offers residential property insurance coverage for insured losses to property, contents, and additional living expenses; and (2) does not require insurers to pool resources to provide property insurance coverage for earthquakes. Includes among such operational requirements that the state: (1) has in effect and enforces, or the appropriate local governments within the state have in effect and enforce, nationally recognized building, seismic-design, and safety codes and consensus-based standards; and (2) has taken actions to establish an insurance rate structure that takes into account measures to mitigate insured losses. Directs the Secretary to establish procedures for certification of an eligible state program. Limits to $5 billion, including interest, the aggregate principal amount of outstanding debt obligations guaranteed by the Secretary. Makes appropriations to satisfy debt guarantee commitments. Requires the Secretary, upon request of an eligible state program, to provide such debt guarantees. Pledges the full faith and credit of the United States to the payment of all guarantees issued under this Act.
hr6691-112|To establish and operate a National Center for Campus Public Safety.|Education|Center to Advance, Monitor, and Preserve University Security Safety Act of 2012 or the CAMPUS Safety Act of 2012 - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to establish and operate, within the Office of Community Oriented Policing Services, a National Center for Campus Public Safety. Tasks the Center with strengthening the safety and security of institutions of higher education (IHEs) by: (1) training IHE public safety personnel and their collaborative partners; (2) fostering relevant research; (3) collecting and disseminating information and best practices regarding campus safety; (4) developing protocols and best practices to prevent, protect against, and respond to dangerous and violent situations that threaten the campus community; and (5) promoting cooperation among public safety and emergency management personnel of IHEs and their collaborative partners, including law enforcement, emergency management, and mental health agencies. Authorizes the Attorney General to award grants to IHEs and other nonprofit organizations for activities that will assist the Center in performing its functions.
hr2231-112|To amend the Internal Revenue Code of 1986 to terminate the ethanol tax credits, and for other purposes.|Taxation|Ethanol Modernization and Deficit Reduction Act - Amends the Internal Revenue Code to advance the termination date of the income and excise tax credits for ethanol from December 31, 2011, to June 30, 2011; (2) extend the tax credit for alternative fuel vehicle refueling property expenditures and the cellulosic biofuel producer tax credit; (3) extend the bonus depreciation allowance for cellulosic biofuel plant property; and (4) revise the definition of cellulosic biofuel for purposes of the cellulosic biofuel producer tax credit. Exempts the budgetary effects of this Act from PAYGO scorecard requirements under the Statutory Pay-As-You-Go Act of 2010.
hr5828-112|To amend the Uniformed and Overseas Citizens Absentee Voting Act to permit an absentee ballot application submitted by an absent uniformed services voter or overseas voter with respect to an election for Federal office to serve as an absentee ballot application for each subsequent election for Federal office held in the State through the next regularly scheduled general election for Federal office.|Government operations and politics|Amends the Uniformed and Overseas Citizens Absentee Voting Act to permit a valid voter registration and absentee ballot request submitted by an absent U.S. military or civilian overseas voter with respect to an election for a U.S. federal office to be treated as a request for each subsequent election held in that person's normal state of residence through the next regularly scheduled general election. Provides an exception for voters changing their state of registration. Prohibits a state from refusing to accept or process an otherwise valid absentee registration or ballot application from such voters on the grounds that it was submitted before the date on which such state accepts or processes such applications from domestic voters.
hr5014-112|To suspend temporarily the duty on 4 Ethoxy 1,1,1 trifluoro 3 butene-2-one.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 4 Ethoxy 1,1,1 trifluoro 3 butene-2-one.
hr595-112|"To amend title 36, United States Code, to designate the musical piece commonly known as ""Taps"" as the National Song of Remembrance, and for other purposes."|Armed forces and national security|"Expresses the sense of Congress that at a military funeral, memorial service, or wreath laying, the musical piece known as ""Taps"" should be sounded by a live solo bugler or trumpeter when possible. Designates Taps as the National Song of Remembrance. Provides for the appropriate conduct of military and non-military persons present during the playing of Taps. Provides an exception to such conduct when Taps is sounded as the final call of the day at a military base."
hr1686-112|"To designate the facility of the United States Postal Service located at 200 South Morgan Street in Shelbyville, Illinois, as the ""Jesse M. Donaldson Post Office""."|Government operations and politics|"Designates the facility of the United States Postal Service located at 200 South Morgan Street in Shelbyville, Illinois, as the ""Jesse M. Donaldson Post Office."""
hr5226-112|To suspend temporarily the duty on check valves of steel, having an opening less than approximately 7.62 cm. in diameter and certified by the importer as meeting ASME III certification requirements (but not meeting ASME B16.34 certification requirements) as approved for use in nuclear facilities.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on check valves of steel, having an opening less than approximately 7.62 cm. in diameter and certified by the importer as meeting ASME III certification requirements (but not meeting ASME B16.34 certification requirements) as approved for use in nuclear facilities.
hr2003-112|To amend the Internal Revenue Code of 1986 to impose a tax on transactions in oil futures, options, and swaps, and for other purposes.|Taxation|Taxing Speculators out of the Oil Market Act - Amends the Internal Revenue Code to: (1) impose an 0.01% excise tax on transactions in oil futures, options, and swaps, to be paid by the trading facility on which the transactions occur or by the buyer of the transaction; and (2) require withholding of such tax if the buyer is a foreign person. Exempts from such tax certain commercial oil traders and bona fide hedging transactions. Amends the Commodity Exchange Act to credit tax revenues from this Act as offsetting collections to appropriations to the Commodity Futures Trading Commission (CFTC). Requires any unexpended amounts to be used to reduce the public debt. Requires the CFTC to: (1) subject each bank holding company that engages in trading in oil futures, options, and swaps, and each hedge fund that buys or sells a contract of sale of oil for future delivery, to the rules applicable to noncommercial participants in the markets for the contracts; and (2) revoke immediately each staff no-action letter that covers a foreign board of trade that has established a trading terminal in the United States for selling contracts to or from U.S. investors and engages in trading in oil futures, options, and swaps.
hr4790-112|To extend the suspension of duty on 2,2,6,6-Tetramethyl-4-piperidinone.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to extend the suspension of duty on 2,2,6,6-Tetramethyl-4-piperidinone.
hr5642-112|To suspend temporarily the duty on mixtures containing Fenazaquin.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on mixtures containing Fenazaquin.
hr2467-112|To take certain Federal lands in Mono County, California, into trust for the benefit of the Bridgeport Indian Colony.|Public lands and natural resources|Bridgeport Indian Colony Land Trust, Health, and Economic Development Act of 2012 - Declares approximately 39.36 acres of federal land in Mono County, California, to be held in trust by the United States for the benefit of the Bridgeport Indian Colony. Prohibits class II or III gaming from being conducted on such lands. Retains the responsibility of the Bureau of Land Management (BLM) for the oversight and renewal of all easements and rights-of-way with the Bridgeport Public Utility District that exist on the date of this Act's enactment.
hr2655-112|To amend the Internal Revenue Code of 1986 to extend the new markets tax credit through 2016, and for other purposes.|Taxation|New Markets Tax Credit Extension Act of 2011 - Amends the Internal Revenue Code to: (1) extend the new markets tax credit through 2016, (2) provide for an inflation adjustment to the limitation amount for such credit after 2012, and (3) allow an offset against the alternative minimum tax (AMT) for such credit (determined with respect to qualified equity investments made before January 1, 2017).
hr3787-112|To amend the Congressional Budget Act of 1974 to require a jobs score for each spending bill considered in Congress.|Economics and public finance|Jobs Score Act of 2012 - Amends the Congressional Budget Act of 1974 to require a Congressional Budget Office (CBO) analysis of any public bill or resolution reported from a congressional committee (except on Appropriations of each chamber) to estimate the number of jobs which would be created, sustained, or lost in carrying out such measure in the fiscal year in which it is to become effective and in each of the four ensuing fiscal years, together with the basis for each such estimate. Requires such analysis, to the extent practicable, to include regional and state-level estimates of such jobs.
hr5470-112|To suspend temporarily the duty on polycrystalline alumina tubes and shaped bodies designed for high intensity discharge (HID) lamps.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on polycrystalline alumina tubes and shaped bodies designed for high intensity discharge (HID) lamps.
hr3926-112|To suspend temporarily the duty on other knitted or crocheted fabrics, of cotton, dyed, other, of single knit construction.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on other knitted or crocheted fabrics, of cotton, dyed, other, of single knit construction.
hr6468-112|To amend the Internal Revenue Code of 1986 to clarify that tar sands are crude oil for purposes of the Federal excise tax on petroleum.|Taxation|"Amends the Internal Revenue Code to include tar sands in the definition of ""crude oil"" for purposes of the excise tax on petroleum."
hr4931-112|To extend and modify the temporary reduction of duty on 3,3 -Dichlorobenzidine dihydrochloride ([1,1-biphenyl]- 4,4 -diamino, 3,3-dichloro-).|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to temporarily reduce the duty on 3,3 031'-Dichlorobenzidine dihydrochloride ([1,1 031'-biphenyl]- 4,4 031'-diamino, 3,3 031'-dichloro-).
hr3328-112|To amend title XVIII of the Social Security Act to provide a six-month grace period for certain Medicare advanced diagnostic imaging services suppliers to receive accreditation.|Health|Amends title XVIII (Medicare) of the Social Security Act to create a six-month grace period for accreditation of certain Medicare advanced diagnostic imaging services suppliers. Declares that, in the case of a supplier who has not previously received payment for the technological component of advanced diagnostic imaging services under the Medicare fee schedule, that the supplier, applying for accreditation, shall be deemed to be accredited for a grace period beginning on the date the supplier conducts the first image or set of images obtained from an advanced diagnostic imaging service submitted to an accrediting organization. Ends the grace period on the earliest of the following: (1) the date on which the supplier's application for accrediation is approved; (2) the date on which the application is denied; or (3) the end of the six-month period beginning on the date the first image or set of images obtained from an advanced diagnostic imaging service is conducted.
hr906-112|To authorize public awareness campaigns to promote the persistent quest for knowledge and increased education among youth.|Education|Positive Reduction of Incarceration by Maximizing Education Act or PRIME Act - Directs the Attorney General, through the Director of the Office of Juvenile Justice and Delinquency Prevention, to establish national, regional, and local public awareness campaigns focused on promoting the advantages of continued education among youth.
hr4569-112|To reduce temporarily the duty on Carbamic acid, [4-chloro-2-fluoro-5-[[[[methyl(1-methylethyl)amino]sulfonyl ]amino]carbonyl]phenyl]-, ethyl ester (PCM).|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to reduce temporarily the duty on Carbamic acid, [4-chloro-2-fluoro-5-[[[[methyl(1-methylethyl)amino]sulfonyl ]amino]carbonyl]phenyl]-, ethyl ester (PCM).
hr1827-112|To amend the Internal Revenue Code of 1986 to provide a standard home office deduction.|Taxation|Home Office Deduction Simplification Act - Amends the Internal Revenue Code to allow a taxpayer who uses a residence to conduct a trade or business a standard tax deduction equal to the lesser of $1,500 or the taxpayer's gross trade or business income derived from the business use of such residence.
